"Entry","Name","Origin","NumberOfSeeds","SeedMass","MassWithEnvelope"
1,"CDC Asterix AGL","Canada",300,8.87671232876712,11.9767123287671
2,"CDC Rosie AGL","Canada",300,10.3326039387309,13.4326039387309
3,"3156-11 AGL","Canada",300,13.671875,16.771875
4,"CDC Greenstar AGL","Canada",300,21.5057142857143,24.6057142857143
5,"CDC Cherie AGL","Canada",300,13.3702702702703,16.4702702702703
6,"CDC Glamis AGL","Canada",300,20.4107142857143,23.5107142857143
7,"CDC Gold AGL","Canada",300,15.8957055214724,18.9957055214724
10,"CDC KR-1 AGL","Canada",300,17.9096989966555,21.0096989966555
11,"CDC LeMay AGL","Canada",300,11.629680998613,14.729680998613
13,"CDC QG-1 AGL","Canada",300,14.7129186602871,17.8129186602871
14,"CDC Red Rider AGL","Canada",300,14.8075117370892,17.9075117370892
15,"CDC Redcoat AGL","Canada",300,14.1218637992832,17.2218637992832
16,"CDC Redwing AGL","Canada",300,12.6266094420601,15.7266094420601
17,"CDC Robin AGL","Canada",300,9.4789156626506,12.5789156626506
18,"CDC Rosebud AGL","Canada",300,9.8,12.9
19,"CDC Rosetown AGL","Canada",300,10.4965909090909,13.5965909090909
20,"CDC Rouleau AGL","Canada",300,12.5005417118093,15.6005417118093
21,"CDC Royale AGL","Canada",300,13.6713197969543,16.7713197969543
22,"CDC Ruby AGL","Canada",300,9.81072555205047,12.9107255520505
23,"CDC SB-1 AGL","Canada",300,11.205,14.305
24,"CDC Sedley AGL","Canada",300,18.4352941176471,21.5352941176471
25,"CDC Vantage AGL","Canada",300,15.5487804878049,18.6487804878049
26,"CN 105604 AGL","Ethiopia",300,7.39236641221374,10.4923664122137
27,"CN 105605 AGL","Eritrea",300,8.98227848101266,12.0822784810127
28,"CN 105715 AGL","Ethiopia",300,15.4515463917526,18.5515463917526
29,"CN 105732 AGL","Ethiopia",300,14.6307692307692,17.7307692307692
30,"CN 105767 AGL","Libya",300,9.42857142857143,12.5285714285714
31,"CN 105777 AGL","Egypt",300,8.98251748251748,12.0825174825175
32,"CN 105789 AGL","Ethiopia",300,9.01892744479495,12.118927444795
33,"CN 105791 AGL","Egypt",300,7.86536758193091,10.9653675819309
34,"CN 105862 AGL","Tunisia",300,18.5539906103286,21.6539906103286
35,"CN 105863 AGL","Tunisia",300,21.2445328031809,24.3445328031809
36,"CN 105864 AGL","Tunisia",300,14.8150943396226,17.9150943396226
37,"CN 105865 AGL","Tunisia",300,20.0266343825666,23.1266343825666
38,"CN 105895 AGL","Egypt",300,10.1651254953765,13.2651254953765
39,"CN 106265 AGL","Egypt",300,12.0818858560794,15.1818858560794
40,"CN 108369 AGL","Libya",300,20.6049618320611,23.7049618320611
41,"CN 108370 AGL","Libya",300,7.83120706575074,10.9312070657507
42,"Crimson AGL","USA",300,12.1653543307087,15.2653543307087
43,"DPL 62 AGL","India",300,13.3142857142857,16.4142857142857
44,"Eston AGL","Canada",300,11.2908309455587,14.3908309455587
45,"Gudo AGL","Ethiopia",300,14.7201834862385,17.8201834862385
46,"IG 1046 AGL","Egypt",300,10.9894319682959,14.0894319682959
47,"IG 1706 AGL","Ethiopia",300,7.40255591054313,10.5025559105431
48,"IG 1959 AGL","Ethiopia",300,11.0258302583026,14.1258302583026
49,"IG 4258 AGL","India",300,7.43502824858757,10.5350282485876
50,"IG 4781 AGL","Algeria",300,14.3639240506329,17.4639240506329
51,"IG 858 AGL","Algeria",300,9.36256684491978,12.4625668449198
52,"ILL 10657 AGL","Turkey",300,14.5578947368421,17.6578947368421
53,"ILL 10748 AGL","ICARDA",300,19.2369020501139,22.3369020501139
54,"ILL 11547 AGL","Ethiopia",300,11.4886363636364,14.5886363636364
55,"ILL 11548 AGL","Ethiopia",300,9.21763085399449,12.3176308539945
56,"ILL 11553 AGL","India",300,10.5551020408163,13.6551020408163
57,"ILL 11555 AGL","India",300,12.625,15.725
58,"ILL 11557 AGL","India",300,13.6078431372549,16.7078431372549
59,"ILL 11558 AGL","India",300,11.4081325301205,14.5081325301205
60,"ILL 1220 AGL","Iran",300,15,18.1
61,"ILL 1553 AGL","Iran",300,14.2700156985871,17.3700156985871
62,"ILL 1762 AGL","Afghanistan",300,8.14242728184553,11.2424272818455
63,"ILL 1983 AGL","Ethiopia",300,8.44253490870032,11.5425349087003
64,"ILL 213 AGL","Afghanistan",300,7.75205640423032,10.8520564042303
65,"ILL 2194 AGL","Pakistan",300,14.8520179372197,17.9520179372197
66,"PI 431893 LSP AGL","Iran",300,9.52844638949672,12.6284463894967
67,"ILL 2507 AGL","India",300,8.37609329446064,11.4760932944606
68,"ILL 2580 AGL","India",300,10.155,13.255
69,"ILL 28 AGL","Syria",300,23.3925619834711,26.4925619834711
70,"ILL 3025 AGL","India",300,7.51034482758621,10.6103448275862
71,"ILL 313 AGL","Israel",300,10.9728892331526,14.0728892331526
72,"ILL 3347 AGL","India",300,8.24420401854714,11.3442040185471
73,"ILL 358 AGL","Ethiopia",300,13.4736842105263,16.5736842105263
74,"ILL 3597 AGL","India",300,7.49664429530201,10.596644295302
75,"ILL 4164 AGL","India",300,13.1730769230769,16.2730769230769
76,"ILL 4400 AGL","Syria",300,19.510067114094,22.610067114094
77,"ILL 4605 AGL","Argentina",300,17.532,20.632
78,"ILL 4609 AGL","Netherlands",300,8.15779283639884,11.2577928363988
79,"ILL 4665 AGL","Hungary",300,19.3747680890538,22.4747680890538
80,"ILL 4671 AGL","USA",300,20.9516129032258,24.0516129032258
81,"ILL 4768 AGL","Yemen",300,10.6913793103448,13.7913793103448
82,"ILL 4782 AGL","Unknown",300,11.0229508196721,14.1229508196721
83,"ILL 4783 AGL","Czech Republic",300,18.7119565217391,21.8119565217391
84,"ILL 4804 AGL","Libya",300,10.3753753753754,13.4753753753754
85,"ILL 4875 AGL","Uzbekistan",300,8.17960288808664,11.2796028880866
86,"ILL 4956 AGL","Portugal",300,12.5892857142857,15.6892857142857
87,"ILL 5058 AGL","Spain",300,22.8610567514677,25.9610567514677
88,"ILL 5151 AGL","India",300,12.6325301204819,15.7325301204819
89,"ILL 5209 AGL","Jordan",300,13.8258992805755,16.9258992805755
90,"ILL 5480 AGL","Czech Republic",300,14.6917431192661,17.7917431192661
91,"ILL 5639 AGL","Ethiopia",300,11.0916905444126,14.1916905444126
92,"ILL 5722 AGL","Turkey",300,17.7096774193548,20.8096774193548
93,"ILL 5883 AGL","Jordan",300,15.5872756933116,18.6872756933116
94,"ILL 5888 AGL","Bangladesh",300,11.52,14.62
95,"ILL 5945 AGL","Ethiopia",300,9.5260663507109,12.6260663507109
96,"ILL 6002 AGL","ICARDA",300,18.4548551959114,21.5548551959114
97,"ILL 618 AGL","Tajikistan",300,8.51645569620253,11.6164556962025
98,"ILL 6182 AGL","Tunisia",300,8.39029535864979,11.4902953586498
99,"ILL 6211 AGL","ICARDA",300,17.9323671497585,21.0323671497585
100,"ILL 624 AGL","Macedonia",300,9.13793103448276,12.2379310344828
101,"ILL 6821 AGL","Ethiopia",300,12.0073349633252,15.1073349633252
102,"ILL 6853 AGL","Syria",300,22.4232283464567,25.5232283464567
103,"ILL 7089 AGL","Russia",300,15.5547945205479,18.6547945205479
104,"ILL 7558 AGL","India",300,18.9943342776204,22.0943342776204
105,"ILL 7663 AGL","ICARDA",300,12.0583333333333,15.1583333333333
106,"ILL 7668 AGL","ICARDA",300,10.4324758842444,13.5324758842444
107,"ILL 7716 AGL","India",300,17.3577127659574,20.4577127659574
108,"ILL 7747 AGL","Syria",300,10.4081632653061,13.5081632653061
109,"ILL 7946 AGL","Syria",300,12.3942307692308,15.4942307692308
110,"ILL 7978 AGL","Ethiopia",300,14.4217391304348,17.5217391304348
111,"ILL 7979 AGL","ICARDA",300,8.57739938080495,11.677399380805
112,"ILL 8007 AGL","Bangladesh",300,9.9841628959276,13.0841628959276
113,"ILL 8009 AGL","Bangladesh",300,7.06666666666667,10.1666666666667
114,"ILL 8010 AGL","Bangladesh",300,7.98439024390244,11.0843902439024
115,"ILL 8072 AGL","India",300,22.6016949152542,25.7016949152542
116,"ILL 8174 AGL","ICARDA",300,20.9462365591398,24.0462365591398
117,"ILL 8595 AGL","Ecuador",300,16.635499207607,19.735499207607
118,"ILL 9 AGL","Jordan",300,17.34375,20.44375
119,"ILL 975 AGL","Chile",300,12.0321715817694,15.1321715817694
120,"ILL 9888 AGL","ICARDA",300,9.22869955156951,12.3286995515695
121,"ILL 9932 AGL","ICARDA",300,9.16607142857143,12.2660714285714
122,"ILL 9945 AGL","ICARDA",300,11.3080568720379,14.4080568720379
123,"ILL 9977 AGL","Jordan",300,10.478021978022,13.578021978022
124,"ILL 9997 AGL","ICARDA",300,11.8299817184643,14.9299817184643
125,"ILWL 118 AGL","Syria",300,9.50587248322148,12.6058724832215
126,"Indianhead AGL","Canada",300,7.11415525114155,10.2141552511416
127,"IPL 220 AGL","India",300,8.35476718403548,11.4547671840355
128,"Laird AGL","Canada",300,19.3312020460358,22.4312020460358
129,"LIRL-22-46 AGL","India",300,11.870159453303,14.970159453303
130,"PI 163589 AGL","Guatemala",300,17.2691218130312,20.3691218130312
131,"PI 169534 LSP AGL","Turkey",300,8.6095041322314,11.7095041322314
132,"PI 175754 LSP AGL","Turkey",300,13.6041412911084,16.7041412911084
133,"PI 177430 LSP AGL","Turkey",300,11.836032388664,14.936032388664
134,"PI 178939 LSP AGL","Turkey",300,8.54735959765298,11.647359597653
135,"PI 178952 AGL","Turkey",300,10.3497453310696,13.4497453310696
136,"PI 178971 LSP AGL","Turkey",300,8.3389296956978,11.4389296956978
137,"PI 179324 LSP AGL","Turkey",300,12.0627376425856,15.1627376425856
138,"PI 179330 AGL","Turkey",300,13.8455497382199,16.9455497382199
139,"PI 181771 LSP AGL","Lebanon",300,8.2874671340929,11.3874671340929
140,"PI 181886 LSP AGL","Syria",300,22.2281879194631,25.3281879194631
141,"PI 182217 LSP AGL","Turkey",300,9.25403225806452,12.3540322580645
142,"PI 193546 AGL","Ethiopia",300,13.0962962962963,16.1962962962963
143,"PI 193547 LSP AGL","Ethiopia",300,7.96812749003984,11.0681274900398
144,"PI 193548 LSP AGL","Ethiopia",300,9.38159675236806,12.4815967523681
145,"PI 193550 AGL","Ethiopia",300,8.32991318074191,11.4299131807419
146,"PI 207492 LSP AGL","Afghanistan",300,8.3075117370892,11.4075117370892
147,"PI 518731 LSP AGL","Brazil",300,10.2040038131554,13.3040038131554
148,"PI 209858 LSP AGL","Greece",300,11.5826771653543,14.6826771653543
149,"PI 211052 LSP AGL","Afghanistan",300,7.57357750163506,10.6735775016351
150,"PI 212100 LSP AGL","Afghanistan",300,8.26330150068213,11.3633015006821
151,"PI 212610 LSP AGL","Afghanistan",300,8.184,11.284
152,"PI 217949 LSP AGL","Pakistan",300,6.91442848219863,10.0144284821986
153,"PI 238758 LSP AGL","Belgium",300,19.3794642857143,22.4794642857143
154,"PI 244046 AGL","Yemen",300,9.81865736704446,12.9186573670445
155,"PI 250156 LSP AGL","Pakistan",300,8.13782051282051,11.2378205128205
156,"PI 250158 LSP AGL","Pakistan",300,7.1287988422576,10.2287988422576
157,"PI 251248 LSP AGL","Egypt",300,9.53940066592675,12.6394006659267
158,"PI 273664 LSP AGL","Ethiopia",300,8.36372093023256,11.4637209302326
159,"PI 280686 AGL","Egypt",300,11.0730897009967,14.1730897009967
160,"PI 283604 LSP AGL","Portugal",300,20.7173076923077,23.8173076923077
161,"PI 289066 AGL","Czech Republic",300,12.0037593984962,15.1037593984962
162,"PI 289073 LSP AGL","Hungary",300,9.56442417331813,12.6644241733181
163,"PI 289079 LSP AGL","Egypt",300,10.0619469026549,13.1619469026549
164,"PI 290716 LSP AGL","Unknown",300,10.177358490566,13.277358490566
165,"PI 297285 LSP AGL","Argentina",300,15.3744557329463,18.4744557329463
166,"PI 297287 AGL","Argentina",300,19.5434782608696,22.6434782608696
167,"PI 297754 LSP AGL","Greece",300,8.94605394605395,12.0460539460539
168,"PI 297767 AGL","Greece",300,20.8150684931507,23.9150684931507
169,"PI 297772 LSP AGL","Greece",300,11.3443708609272,14.4443708609272
170,"PI 297783 AGL","Ethiopia",300,9.34139402560455,12.4413940256046
171,"PI 297787 LSP AGL","Russia",300,8.70793950850662,11.8079395085066
172,"PI 298023 LSP AGL","Turkey",300,19.7714808043876,22.8714808043876
173,"PI 298121 LSP AGL","France",300,13.1304347826087,16.2304347826087
174,"PI 298122 LSP AGL","France",300,10.3837772397094,13.4837772397094
175,"PI 298357 LSP AGL","Egypt",300,9.06188605108055,12.1618860510805
176,"PI 298631 LSP AGL","Peru",300,20.9387755102041,24.0387755102041
177,"PI 298644 LSP AGL","Spain",300,20.6941431670282,23.7941431670282
178,"PI 298645 AGL","Spain",300,16.5711206896552,19.6711206896552
179,"PI 298921 AGL","Italy",300,20.5992779783393,23.6992779783393
180,"PI 298922 LSP AGL","Italy",300,9.35765895953757,12.4576589595376
181,"PI 298923 LSP AGL","Italy",300,19.7173396674584,22.8173396674584
182,"PI 299116 LSP AGL","Mexico",300,9.28156146179402,12.381561461794
183,"PI 299120 LSP AGL","Mexico",300,11.5013850415512,14.6013850415512
184,"PI 299121 LSP AGL","Mexico",300,11.7042755344418,14.8042755344418
185,"PI 299126 LSP AGL","Mexico",300,11.0176991150442,14.1176991150442
186,"PI 299163 LSP AGL","Chile",300,21.3109404990403,24.4109404990403
187,"PI 299164 LSP AGL","Chile",300,19.1414913957935,22.2414913957935
188,"PI 299165 AGL","Chile",300,17.9477351916376,21.0477351916376
189,"PI 299177 LSP AGL","Chile",300,18.2973568281938,21.3973568281938
190,"PI 299237 LSP AGL","Chile",300,13.921875,17.021875
191,"PI 299289 AGL","Chile",300,13.7596810933941,16.8596810933941
192,"PI 299312 AGL","Chile",300,20.9155722326454,24.0155722326454
193,"PI 299345 AGL","Chile",300,19.3456998313659,22.4456998313659
194,"PI 299351 LSP AGL","Chile",300,10.4125,13.5125
195,"PI 299366 LSP AGL","Chile",300,18.5893805309735,21.6893805309735
196,"PI 299375 LSP AGL","Chile",300,19.9516728624535,23.0516728624535
197,"PI 300250 LSP AGL","Syria",300,11.378125,14.478125
198,"PI 302398 LSP AGL","Jordan",300,18.848275862069,21.948275862069
199,"PI 308614 LSP AGL","Syria",300,11.5971563981043,14.6971563981043
200,"PI 311107 LSP AGL","Guatemala",300,16.6952380952381,19.7952380952381
201,"PI 312175 LSP AGL","Mexico",300,10.0885529157667,13.1885529157667
202,"PI 320935 LSP AGL","Iran",300,11.0595611285266,14.1595611285266
203,"PI 320936 LSP AGL","Russia",300,9.27038626609442,12.3703862660944
204,"PI 320937 LSP AGL","Germany",300,8.50297619047619,11.6029761904762
205,"CN 105866 AGL","Tunisia",300,18.6765578635015,21.7765578635015
206,"PI 320941 LSP AGL","Ethiopia",300,9.45015416238438,12.5501541623844
207,"PI 320945 LSP AGL","Bulgaria",300,12.7416020671835,15.8416020671835
208,"PI 320946 LSP AGL","Israel",300,13.2390488110138,16.3390488110138
209,"PI 320952 LSP AGL","Czech Republic",300,7.42857142857143,10.5285714285714
210,"PI 320953 LSP AGL","Germany",300,7.66353790613718,10.7635379061372
211,"PI 320954 LSP AGL","Hungary",300,12.1176470588235,15.2176470588235
212,"PI 329157 LSP AGL","Iran",300,15.5071283095723,18.6071283095723
213,"PI 329167 LSP AGL","Iran",300,19.1409395973154,22.2409395973154
214,"PI 339266 LSP AGL","Turkey",300,19.5220588235294,22.6220588235294
215,"PI 339283 LSP AGL","Turkey",300,12.7680608365019,15.8680608365019
216,"PI 339285 AGL","Turkey",300,11.8,14.9
217,"PI 339289 LSP AGL","Turkey",300,21.5608108108108,24.6608108108108
218,"PI 339292 LSP AGL","Turkey",300,9.94035087719298,13.040350877193
219,"PI 339296 AGL","Turkey",300,11.3173652694611,14.4173652694611
220,"PI 343026 LSP AGL","Tajikistan",300,9.19428571428571,12.2942857142857
221,"PI 345627 LSP AGL","Ukraine",300,17.4071146245059,20.5071146245059
222,"PI 358602 LSP AGL","Ethiopia",300,7.66487317448117,10.7648731744812
223,"PI 368647 LSP AGL","Macedonia",300,8.15398886827458,11.2539888682746
224,"PI 368651 LSP AGL","Macedonia",300,7.63746630727763,10.7374663072776
225,"PI 370481 LSP AGL","Serbia",300,19.3448275862069,22.4448275862069
226,"PI 374116 LSP AGL","Morocco",300,11.4102079395085,14.5102079395085
227,"PI 374117 LSP AGL","Morocco",300,12.7974683544304,15.8974683544304
228,"PI 374118 AGL","Morocco",300,12.3867713004484,15.4867713004484
229,"PI 374120 LSP AGL","Morocco",300,16.0694864048338,19.1694864048338
230,"PI 374121 AGL","Morocco",300,17.7320261437908,20.8320261437908
231,"PI 379368 LSP AGL","Macedonia",300,18.9473684210526,22.0473684210526
232,"PI 383682 LSP AGL","Turkey",300,8.96189376443418,12.0618937644342
233,"PI 420818 AGL","Greece",300,21.2510204081633,24.3510204081633
234,"PI 420924 LSP AGL","Jordan",300,19.5434782608696,22.6434782608696
235,"PI 420925 LSP AGL","Jordan",300,10.8560606060606,13.9560606060606
236,"PI 420929 LSP AGL","Jordan",300,11.8569536423841,14.9569536423841
237,"PI 426202 LSP AGL","Afghanistan",300,9.09523809523809,12.1952380952381
238,"PI 426778 LSP AGL","Pakistan",300,8.07992565055762,11.1799256505576
239,"PI 426784 LSP AGL","Pakistan",300,7.2843137254902,10.3843137254902
240,"PI 426797 LSP AGL","Pakistan",300,7.28509406657019,10.3850940665702
241,"PI 426807 LSP AGL","Pakistan",300,7.25124131082423,10.3512413108242
242,"PI 431618 LSP AGL","Iran",300,17.6573146292585,20.7573146292585
243,"PI 431622 LSP AGL","Iran",300,11.9188092016238,15.0188092016238
244,"PI 431630 LSP AGL","Iran",300,8.37117903930131,11.4711790393013
245,"PI 431633 LSP AGL","Iran",300,21.3504672897196,24.4504672897196
246,"PI 431636 LSP AGL","Iran",300,18.4557692307692,21.5557692307692
247,"PI 431643 LSP AGL","Iran",300,9.16184210526316,12.2618421052632
248,"PI 431662 LSP AGL","Iran",300,9.72141918528252,12.8214191852825
249,"PI 431663 LSP AGL","Iran",300,11.0112676056338,14.1112676056338
250,"PI 431679 LSP AGL","Egypt",300,9.28915662650602,12.389156626506
251,"PI 431684 LSP AGL","Iran",300,9.38127090301003,12.48127090301
252,"PI 431705 LSP AGL","Iran",300,11.752427184466,14.852427184466
253,"PI 431710 LSP AGL","Iran",300,11.3519417475728,14.4519417475728
254,"PI 431714 LSP AGL","Iran",300,10.0054945054945,13.1054945054945
255,"PI 431717 LSP AGL","Iran",300,9.94849023090586,13.0484902309059
256,"PI 431728 LSP AGL","Iran",300,9.63877381938691,12.7387738193869
257,"PI 431731 LSP AGL","Iran",300,10.0673109075102,13.1673109075102
258,"PI 431739 LSP AGL","Iran",300,10.3996597116504,13.4996597116504
259,"PI 431753 LSP AGL","Iran",300,10.9053978750279,14.0053978750279
260,"PI 431756 LSP AGL","Iran",300,10.3716690042076,13.4716690042076
261,"PI 431809 LSP AGL","Iran",300,11.5770750988142,14.6770750988142
262,"PI 431824 LSP AGL","Iran",300,10.9965356334842,14.0965356334842
263,"PI 431863 LSP AGL","Iran",300,10.7530782453683,13.8530782453683
264,"PI 431873 LSP AGL","Iran",300,10.5395359148685,13.6395359148685
265,"PI 431884 LSP AGL","Iran",300,12.97446306967,16.07446306967
266,"PI 431888 LSP AGL","Iran",300,8.49074074074074,11.5907407407407
267,"PI 431923 LSP AGL","Iran",300,8.16397263314575,11.2639726331458
268,"PI 431980 LSP AGL","Iran",300,16.3029850746269,19.4029850746269
269,"PI 432000 LSP AGL","Iran",300,8.30677290836653,11.4067729083665
270,"PI 432001 LSP AGL","Iran",300,12.7294964028777,15.8294964028777
271,"PI 432002 LSP AGL","Iran",300,10.422586773684,13.522586773684
272,"PI 432005 LSP AGL","Iran",300,13.2793017456359,16.3793017456359
273,"PI 432028 LSP AGL","Iran",300,11.0969957581303,14.1969957581303
274,"PI 432033 LSP AGL","Iran",300,10.5314046972122,13.6314046972122
275,"PI 432085 LSP AGL","Iran",300,13.6748878923767,16.7748878923767
276,"PI 432106 LSP AGL","Iran",300,16.8449477351916,19.9449477351916
277,"PI 432124 LSP AGL","Iran",300,8.51986379114642,11.6198637911464
278,"PI 432145 LSP AGL","Iran",300,9.96965699208443,13.0696569920844
279,"PI 432147 LSP AGL","Iran",300,10.7713080699987,13.8713080699987
280,"PI 432184 LSP AGL","Iran",300,11.5381355932203,14.6381355932203
281,"PI 432188 LSP AGL","Iran",300,12.5985501095811,15.6985501095811
282,"PI 432190 LSP AGL","Iran",300,14.9452054794521,18.0452054794521
283,"PI 432201 LSP AGL","Iran",300,8.80936639118457,11.9093663911846
284,"PI 432212 LSP AGL","Iran",300,9.28592083733002,12.38592083733
285,"PI 432236 LSP AGL","Jordan",300,8.29257666209352,11.3925766620935
286,"PI 432245 LSP AGL","Lebanon",300,16.9545454545455,20.0545454545455
287,"PI 432271 LSP AGL","Turkey",300,8.71420496256056,11.8142049625606
288,"PI 432286 LSP AGL","Egypt",300,11.2787456445993,14.3787456445993
289,"PI 451763 LSP AGL","USA",300,16.8497854077253,19.9497854077253
290,"PI 458503 LSP AGL","Mexico",300,10.5958702064897,13.6958702064897
291,"PI 468900 LSP AGL","Brazil",300,11.9246851358887,15.0246851358887
292,"PI 468901 AGL","Brazil",300,9.86129970902037,12.9612997090204
293,"PI 468902 LSP AGL","Brazil",300,10.8310810810811,13.9310810810811
294,"PI 472136 LSP AGL","India",300,7.19919786096257,10.2991978609626
295,"PI 472205 LSP AGL","India",300,11.4113597246127,14.5113597246127
296,"PI 472213 LSP AGL","India",300,10.7114624505929,13.8114624505929
297,"PI 472327 LSP AGL","India",300,7.20814479638009,10.3081447963801
298,"PI 472380 LSP AGL","India",300,7.66063977746871,10.7606397774687
299,"PI 472416 LSP AGL","India",300,7.06267806267806,10.1626780626781
300,"PI 472488 LSP AGL","India",300,6.98125,10.08125
301,"PI 472559 LSP AGL","India",300,6.40884955752212,9.50884955752212
302,"PI 472561 LSP AGL","India",300,7.66326530612245,10.7632653061224
303,"PI 472569 LSP AGL","Egypt",300,6.83123425692695,9.93123425692695
304,"PI 472588 LSP AGL","Egypt",300,11.8558362369338,14.9558362369338
305,"PI 472590 LSP AGL","Lebanon",300,13.5416204217536,16.6416204217536
306,"PI 472615 LSP AGL","Jordan",300,16.6234756097561,19.7234756097561
307,"PI 472629 LSP AGL","Iran",300,10.7566938300349,13.8566938300349
308,"PI 477921 LSP AGL","USA",300,17.3731343283582,20.4731343283582
309,"PI 490288 LSP AGL","France",300,10.0178094390027,13.1178094390027
310,"PI 490289 LSP AGL","France",300,14.56,17.66
311,"PI 508090 AGL","USA",300,18.5232558139535,21.6232558139535
312,"PI 518733 LSP AGL","Brazil",300,10.7871720116618,13.8871720116618
313,"PI 518734 LSP AGL","Brazil",300,9.4954356846473,12.5954356846473
314,"PI 533688 LSP AGL","Spain",300,20.978313253012,24.078313253012
315,"PI 533693 LSP AGL","Spain",300,9.98851894374283,13.0885189437428
316,"PI 612875 AGL","Syria",300,8.93739565943239,12.0373956594324
317,"PI 643451 AGL","Ethiopia",300,8.61764705882353,11.7176470588235
318,"PI 643452 AGL","Syria",300,8.56759176365264,11.6675917636526
319,"Shasta AGL","USA",300,17.0782122905028,20.1782122905028
320,"W6 27754 LSP AGL","USDA",300,11.841385597083,14.941385597083
321,"W6 27760 LSP AGL","USDA",300,11.1060171919771,14.2060171919771
322,"W6 27763 LSP AGL","USDA",300,10.263829787234,13.363829787234
323,"W6 27766 LSP AGL","USDA",300,10.9449838187702,14.0449838187702
324,"W6 27767 LSP AGL","USDA",300,10.7935656836461,13.8935656836461
