"Entry","Name","a","b","c","RR","Environments"
1,"CDC Asterix AGL",-0.0189717073124489,0.000342846158097323,0.00205439525928451,0.899575730658294,18
2,"CDC Rosie AGL",-0.0148564141744838,0.000357355645476555,0.00169896734812326,0.847985655625177,18
3,"3156-11 AGL",-0.014045601201051,0.000360664012971414,0.00159482617199802,0.884738836950694,18
4,"CDC Greenstar AGL",-0.0155761876868996,0.00043387573354897,0.00169694600859008,0.821626050198836,18
5,"CDC Cherie AGL",-0.0176192833703764,0.000399878026996923,0.00191823044905302,0.834109998729707,18
6,"CDC Glamis AGL",-0.015795330674937,0.000387174791130001,0.00174328972671757,0.835363134242019,18
7,"CDC Gold AGL",-0.0183666755394779,0.000419699275220103,0.00191929037460369,0.870283268381556,18
8,"CDC Imax AGL",-0.0196375799928801,0.000285773889946566,0.00219856524564356,0.910003697156336,18
9,"CDC Impower AGL",-0.0176941758818594,0.000388087608671607,0.00190826490963206,0.876884855731317,18
10,"CDC KR-1 AGL",-0.0152170268235521,0.000592169244761893,0.00149987929476354,0.691337598972623,18
11,"CDC LeMay AGL",-0.0172364237769695,0.000360122119602922,0.0019042655933346,0.858800909415375,18
12,"CDC Maxim AGL",-0.0180532492907693,0.000377849395780002,0.0019799862035814,0.814746563555786,18
13,"CDC QG-1 AGL",-0.0171116325163288,0.00041194579067229,0.001799444536991,0.904662716181344,18
14,"CDC Red Rider AGL",-0.0166256584592162,0.000391449191475835,0.00180769454025702,0.837412835448887,18
15,"CDC Redcoat AGL",-0.0160647611504432,0.000286331004743166,0.00188380983661771,0.91207946244166,18
16,"CDC Redwing AGL",-0.0173462215417338,0.000289989119241891,0.00199279358423723,0.901421980399598,18
17,"CDC Robin AGL",-0.0193752049611241,0.000403179006686624,0.00204193040994993,0.878606901964061,18
18,"CDC Rosebud AGL",-0.0169810942075596,0.000600202012235336,0.00164988741548377,0.763848090350848,18
19,"CDC Rosetown AGL",-0.015001295379388,0.000339324692472721,0.00171684228306684,0.90268729148108,18
20,"CDC Rouleau AGL",-0.0172482068329264,0.000339959133811101,0.0019180355107852,0.856067111134147,18
21,"CDC Royale AGL",-0.0168158666703119,0.000431768810539494,0.00179921924317573,0.84981604462289,18
22,"CDC Ruby AGL",-0.0167468135460962,0.000623612369253648,0.00163748539985065,0.744126417909377,18
23,"CDC SB-1 AGL",-0.0229206490203663,0.00050117372832556,0.00227755834883368,0.827288926325741,18
24,"CDC Sedley AGL",-0.0166220831432196,0.000436800006852478,0.0017926373874875,0.792980534433901,18
25,"CDC Vantage AGL",-0.0177234394676013,0.000529634455620229,0.00179886419321869,0.790577143486859,18
26,"CN 105604 AGL",-0.0190648234955032,0.000433815698055241,0.00211167493403117,0.831745307019178,18
27,"CN 105605 AGL",-0.0244338759991083,0.00057271246149762,0.00235566196926844,0.825604489344944,18
28,"CN 105715 AGL",-0.0253740373269967,0.000484004174355146,0.00254172422382636,0.865354268543196,18
29,"CN 105732 AGL",-0.0193045423086255,0.000563888284380044,0.00188139465173836,0.849415090754765,18
30,"CN 105767 AGL",-0.0235281745950061,0.000592602124569651,0.00229356367799264,0.846763212932456,18
31,"CN 105777 AGL",-0.0205612972082617,0.00063139801200969,0.00208974526684819,0.841087817192973,18
32,"CN 105789 AGL",-0.0201672674542649,0.000441779275740531,0.00226803192182117,0.774434763526178,18
33,"CN 105791 AGL",-0.0180169547903203,0.00082825832364317,0.00169555557845805,0.786216597122472,18
34,"CN 105862 AGL",-0.0191589637198806,0.000318443175175419,0.0020986167380983,0.903156309897136,18
35,"CN 105863 AGL",-0.0195905979855745,0.000257477048511572,0.00222804744212641,0.889545834686599,18
36,"CN 105864 AGL",-0.0174983648256203,0.00023360491223763,0.00208677361824003,0.907630593359887,18
37,"CN 105865 AGL",-0.0192283153720974,0.000281421919075534,0.00215566128772864,0.915735314151392,18
38,"CN 105895 AGL",-0.0179663823879382,0.0005042626449919,0.00199103464746492,0.824525389175305,18
39,"CN 106265 AGL",-0.0179867412491336,0.000370779994963415,0.00195373151730382,0.874910185906082,18
40,"CN 108369 AGL",-0.0169136608116818,0.000423902966428132,0.00182736062106945,0.854301001218652,18
41,"CN 108370 AGL",-0.0168858524913996,0.000477641170750192,0.00170806922137551,0.836765982667282,18
42,"Crimson AGL",-0.0158538255355389,0.000511951286526586,0.00169547962703508,0.740064296011707,18
43,"DPL 62 AGL",-0.0192151639849073,0.00055899038014595,0.002055467219043,0.79328318117294,18
44,"Eston AGL",-0.0219574255855911,0.000400927673604543,0.00228222533988522,0.862463681322295,18
45,"Gudo AGL",-0.0204471092787469,0.000272915699686723,0.00237586060873038,0.902556427238785,18
46,"IG 1046 AGL",-0.0236979355067176,0.000474428140672156,0.00234920739764282,0.830266694049086,18
47,"IG 1706 AGL",-0.0247476525251934,0.000407846239803799,0.0025077116280587,0.895438036256348,18
48,"IG 1959 AGL",-0.022565775331704,0.000421041505028155,0.00233683069463197,0.81818134038106,18
49,"IG 4258 AGL",-0.0201590240267937,0.000413797856184473,0.00225452815706294,0.842062020193643,18
50,"IG 4781 AGL",-0.018444370624243,0.000363770587505456,0.00197200265095228,0.865149580367954,18
51,"IG 858 AGL",-0.0227048978441098,0.000432600511634893,0.00231618547020533,0.848916353704223,18
52,"ILL 10657 AGL",-0.0196110725764715,0.000501929699050402,0.00214365151743335,0.753843963397301,18
53,"ILL 10748 AGL",-0.0143503526779832,0.00068490955763587,0.00151145285963145,0.783651969569439,18
54,"ILL 11547 AGL",-0.0181850573897428,0.000609676865168284,0.00192254115558519,0.711621170742311,18
55,"ILL 11548 AGL",-0.019546619111489,0.000694537807976417,0.00193009307794461,0.800479307300013,18
56,"ILL 11553 AGL",-0.0184390005351374,0.000472680533534355,0.00206636352468769,0.782796978426079,18
57,"ILL 11555 AGL",-0.0182787729724688,0.000639212686264989,0.00189825086601156,0.745322223933666,18
58,"ILL 11557 AGL",-0.0183449413286121,0.000688697115164782,0.00184570881346531,0.774251730120393,18
59,"ILL 11558 AGL",-0.0191735757282941,0.000656156887432322,0.00195175181376112,0.819319436181967,18
60,"ILL 1220 AGL",-0.0230916837902369,0.000455859470258819,0.00232160412030067,0.867208643904845,18
61,"ILL 1553 AGL",-0.0232393086889937,0.000508630993750298,0.00230980939068354,0.904442965961333,18
62,"ILL 1762 AGL",-0.0211044662481581,0.00029130698976711,0.00230576728164683,0.912051337271056,18
63,"ILL 1983 AGL",-0.0197669590140778,0.000371331760026334,0.00222280027346118,0.917399712901661,18
64,"ILL 213 AGL",-0.0235331536703404,0.000331759784390627,0.00252906265412579,0.867351144651385,18
65,"ILL 2194 AGL",-0.0220213645914262,0.000233737054425574,0.00250419450194565,0.915972619348134,18
66,"PI 431893 LSP AGL",-0.0201048424526428,0.000646687375139464,0.00187187776327529,0.819851966823329,18
67,"ILL 2507 AGL",-0.0188173693797656,0.000460180472960529,0.00210620109165316,0.813398276095494,18
68,"ILL 2580 AGL",-0.0220572200140066,0.000359440747894815,0.00242761253806338,0.905238756425457,18
69,"ILL 28 AGL",-0.0208650124805003,0.000256368600025043,0.00238602379108762,0.877254820895824,18
70,"ILL 3025 AGL",-0.0203598293609526,0.000389712047068629,0.00229242440790601,0.901817741007013,18
71,"ILL 313 AGL",-0.0221630432135983,0.000300407749604863,0.00242793429852212,0.924672333405883,18
72,"ILL 3347 AGL",-0.0194085572259158,0.00044350969939926,0.00215554284063138,0.856442934713367,18
73,"ILL 358 AGL",-0.0216066164793022,0.000317543353382431,0.00239924818872224,0.890231128604983,18
74,"ILL 3597 AGL",-0.0218412905735371,0.000341608550166069,0.00244424268612243,0.919701644421671,18
75,"ILL 4164 AGL",-0.0208800207673348,0.000230673654382693,0.00244702682681309,0.902986883650246,18
76,"ILL 4400 AGL",-0.020119850909423,0.000314561562991299,0.00223228507960747,0.913819002665694,18
77,"ILL 4605 AGL",-0.0150623466389037,0.000702909477690728,0.00155830140883925,0.74830044178213,18
78,"ILL 4609 AGL",-0.021488283990868,0.000250723655874665,0.00242045632546801,0.905844063898479,18
79,"ILL 4665 AGL",-0.0192344087311893,0.000366716973691605,0.00209499643935223,0.872039689001549,18
80,"ILL 4671 AGL",-0.0188056360580967,0.000288310744224964,0.00214499024022395,0.90961924527158,18
81,"ILL 4768 AGL",-0.0214530170398362,0.000424022805112501,0.00237823343503629,0.75765667768851,18
82,"ILL 4782 AGL",-0.0219495282507457,0.000456955033427585,0.00238549754673568,0.794961754012826,18
83,"ILL 4783 AGL",-0.0189518223085107,0.000363962478086061,0.00202285218852085,0.875195854545792,18
84,"ILL 4804 AGL",-0.0217983467347554,0.000299310557485319,0.00242902857092829,0.903719399839806,18
85,"ILL 4875 AGL",-0.0184376441758568,0.000392132344699152,0.00192219175416724,0.913308297963915,18
86,"ILL 4956 AGL",-0.0199073040322353,0.000427004270440651,0.00204518349084723,0.902628566962232,18
87,"ILL 5058 AGL",-0.017692095772298,0.00028681853726047,0.00199160319994674,0.875441370765633,18
88,"ILL 5151 AGL",-0.0200060392465263,0.000241655647840128,0.00234433837215237,0.895359877426783,18
89,"ILL 5209 AGL",-0.0202491452774489,0.000239165376440613,0.00238205302986806,0.857500888304321,18
90,"ILL 5480 AGL",-0.0185208180651861,0.000418239583583518,0.00192858382973583,0.86070464943493,18
91,"ILL 5639 AGL",-0.0208840878644192,0.000388979117347406,0.00225118217151863,0.777875970993209,18
92,"ILL 5722 AGL",-0.0232284461484013,0.000706992243054429,0.00215621066434147,0.852055391035446,18
93,"ILL 5883 AGL",-0.0213867857354492,0.000272222434537201,0.00243773785968178,0.862576160306879,18
94,"ILL 5888 AGL",-0.0147995793469232,0.00143477920764799,0.000908451322347182,0.833450740093063,18
95,"ILL 5945 AGL",-0.0199300322403029,0.000458934638062663,0.00222340158637583,0.777258891447252,18
96,"ILL 6002 AGL",-0.01516218735229,0.000716981925804834,0.00156971933358531,0.766835169593439,18
97,"ILL 618 AGL",-0.0229278061216209,0.000474464401844984,0.00230099282065714,0.889929820417472,18
98,"ILL 6182 AGL",-0.0198710101669989,0.000281191678196786,0.00231552130619385,0.877547651154921,18
99,"ILL 6211 AGL",-0.0144929866372529,0.000646723882669773,0.00155324243834445,0.755623789440803,18
100,"ILL 624 AGL",-0.0199729477232212,0.000388260864758867,0.00210954950787307,0.890374191282038,18
101,"ILL 6821 AGL",-0.0210263811438123,0.000186790103905674,0.0024958486719422,0.905982786387465,18
102,"ILL 6853 AGL",-0.0183359740864832,0.00022018104317204,0.00221933443771185,0.859214674566999,18
103,"ILL 7089 AGL",-0.0240472451085523,0.000501410317952456,0.00237697895045832,0.890360921266476,18
104,"ILL 7558 AGL",-0.0150933444894989,0.000624419760303687,0.00162255638642809,0.771291607049876,18
105,"ILL 7663 AGL",-0.0147904120046845,0.00120417917491483,0.00110442415664973,0.776630028471724,18
106,"ILL 7668 AGL",-0.0193372195994882,0.000482342408600318,0.00208680836982452,0.846839867315626,18
107,"ILL 7716 AGL",-0.0147970445192044,0.000739326537285287,0.00148964397895871,0.766893639632908,18
108,"ILL 7747 AGL",-0.0196707800487576,0.000217295384929099,0.00232972131853641,0.891304342286036,18
109,"ILL 7946 AGL",-0.0215166961616575,0.00029556596698725,0.00243353031990727,0.87244322728803,18
110,"ILL 7978 AGL",-0.0186894320233085,0.000452081057218659,0.00212740585904439,0.723003824389461,18
111,"ILL 7979 AGL",-0.0179068946474093,0.000420999663922738,0.00206607264702714,0.796025174064316,18
112,"ILL 8007 AGL",-0.0204193704837668,0.000681831503426358,0.00205686935637666,0.873897660093418,18
113,"ILL 8009 AGL",-0.0203640283580865,0.000602747759143588,0.00210608102355339,0.792358294586662,18
114,"ILL 8010 AGL",-0.0196101507152564,0.000610279477481163,0.00201514040555128,0.820139738259112,18
115,"ILL 8072 AGL",-0.0216153612966226,0.000260085028261356,0.00243859135550665,0.886376758486286,18
116,"ILL 8174 AGL",-0.0208623589937913,0.000560747112036434,0.00204546629069195,0.738632959114379,18
117,"ILL 8595 AGL",-0.0219785292017521,0.000692340394116042,0.00201721255739916,0.75601718881048,18
118,"ILL 9 AGL",-0.0222163666631239,0.000513476896646006,0.00230150494951697,0.769124240401668,18
119,"ILL 975 AGL",-0.0204396158868674,0.000181432638793267,0.00247806836848727,0.903653349244125,18
120,"ILL 9888 AGL",-0.0225902483844708,0.000405357920705274,0.00241776169032711,0.790782732891438,18
121,"ILL 9932 AGL",-0.0209827975098885,0.000441902643071973,0.00227901785453035,0.804413719054419,18
122,"ILL 9945 AGL",-0.0215702929761722,0.000324165266173647,0.00247132406288596,0.908857641437042,18
123,"ILL 9977 AGL",-0.0206749559317034,0.000482482034090732,0.00224109167277995,0.778603297614467,18
124,"ILL 9997 AGL",-0.0183085730493315,0.000563754170034778,0.0019718636285713,0.773877294974003,18
125,"ILWL 118 AGL",-0.0183029545225533,0.000483372749498592,0.00195277091991105,0.805937717794946,18
126,"Indianhead AGL",-0.0136974205083759,0.000360764686371985,0.00153944700997474,0.878738504513271,18
127,"IPL 220 AGL",-0.0198732397708395,0.000602337707820429,0.0020792442032301,0.77241354443367,18
128,"Laird AGL",-0.0149333661312725,0.000505862031012075,0.00154994937884329,0.843652366343831,18
129,"LIRL-22-46 AGL",-0.0148880493861413,0.00089239626172543,0.00138701720111609,0.754738417665034,18
130,"PI 163589 AGL",-0.0180412482501976,0.000265659751996592,0.00209176048349152,0.902642816272468,18
131,"PI 169534 LSP AGL",-0.0204409144021893,0.000505729780908303,0.00201605802833419,0.845482620218205,18
132,"PI 175754 LSP AGL",-0.022694660629482,0.000378819342531552,0.00237238000057526,0.913597756996687,18
133,"PI 177430 LSP AGL",-0.0197668753492501,0.000290177758137882,0.00220710413490037,0.888628544027683,18
134,"PI 178939 LSP AGL",-0.0201209561847004,0.000411569887872298,0.00208345734781349,0.839924126593409,18
135,"PI 178952 AGL",-0.0225236690602488,0.000475786632888823,0.00226557112542635,0.875333657411777,18
136,"PI 178971 LSP AGL",-0.0197807286060851,0.000391513736101889,0.00209310216933738,0.913482618237885,18
137,"PI 179324 LSP AGL",-0.0213205125883069,0.000280008373048357,0.00234958917060698,0.900200181012973,18
138,"PI 179330 AGL",-0.0216999699220974,0.000342787236908318,0.00231248768325285,0.908999194381872,18
139,"PI 181771 LSP AGL",-0.0194530208282381,0.000378491516962169,0.00208162783725879,0.927303686737713,18
140,"PI 181886 LSP AGL",-0.0194841452977346,0.000225028168116049,0.00229650460883919,0.885142866491258,18
141,"PI 182217 LSP AGL",-0.022238081907373,0.000424118695981321,0.00229180065703712,0.870988078659205,18
142,"PI 193546 AGL",-0.0206876608716395,0.000224522140652953,0.00239189079269312,0.900565178799617,18
143,"PI 193547 LSP AGL",-0.0177369788910899,0.000305366778203769,0.00201304383317579,0.902645778926429,18
144,"PI 193548 LSP AGL",-0.0204797593876544,0.000471508143188816,0.00226106153702189,0.778111908553369,18
145,"PI 193550 AGL",-0.0202824854103844,0.000576916003392337,0.00214912167777662,0.736122746634573,18
146,"PI 207492 LSP AGL",-0.020181448067124,0.000386293074048228,0.00213628887445395,0.906853124158252,18
147,"PI 518731 LSP AGL",-0.0206144908253737,0.000441395567755508,0.00211638009406181,0.837785208637043,18
148,"PI 209858 LSP AGL",-0.0144323051912887,0.000260543912350971,0.0017357489593109,0.85729424080438,18
149,"PI 211052 LSP AGL",-0.0221660824339345,0.000349334908103544,0.00232848091657744,0.927751423805625,18
150,"PI 212100 LSP AGL",-0.0205779133557565,0.000346921596644838,0.0022023969741698,0.923787976880573,18
151,"PI 212610 LSP AGL",-0.0193018449580201,0.000366906433260782,0.00207493405241,0.918117891195627,18
152,"PI 217949 LSP AGL",-0.0222699337626555,0.000330704372278545,0.0024773069912928,0.874278127287871,18
153,"PI 238758 LSP AGL",-0.0198476404514563,0.000615691505965745,0.00187581345218537,0.788559789035951,18
154,"PI 244046 AGL",-0.0201484929378288,0.000760250628323902,0.00198342993793585,0.815926830896835,18
155,"PI 250156 LSP AGL",-0.0218359055931444,0.0003001937811228,0.00241878345420544,0.891963792608388,18
156,"PI 250158 LSP AGL",-0.0187254890551796,0.0004931437471827,0.00209246092215223,0.763155365635789,18
157,"PI 251248 LSP AGL",-0.0219778201398805,0.000817076957689133,0.00209756444950693,0.845796709901107,18
158,"PI 273664 LSP AGL",-0.0218504674670705,0.000308021320678376,0.00234278192802109,0.898993581395567,18
159,"PI 280686 AGL",-0.0194114395385622,0.000550191690012394,0.00205930835205174,0.782402052620973,18
160,"PI 283604 LSP AGL",-0.0184694767357988,0.000257481713632714,0.00213224110984948,0.916587045059698,18
161,"PI 289066 AGL",-0.0145415314850164,0.000263817459418178,0.00174514419267507,0.826297133120223,18
162,"PI 289073 LSP AGL",-0.0188522531454353,0.000361896105212249,0.00203684192599084,0.916484528845721,18
163,"PI 289079 LSP AGL",-0.0181781521083829,0.00032413037983315,0.00200065355693414,0.943878830706921,18
164,"PI 290716 LSP AGL",-0.0200966661117619,0.000364110460759808,0.00215084602131296,0.909528913829564,18
