"Entry","Name","a","b","c","RR","Environments","aP","bP","cP"
1,"CDC Asterix AGL",-0.0187716662822634,0.000337218421340274,0.00204558652125348,0.897834658449581,16,2.4104450958207e-21,5.42892861278693e-08,3.67737730460217e-31
2,"CDC Rosie AGL",-0.0146750282064116,0.000352470560585572,0.00169075691987598,0.8459236201684,18,1.99187258047008e-15,2.76437549481172e-07,1.07031693317471e-24
3,"3156-11 AGL",-0.0138803729777879,0.000356250257589655,0.00158730410706612,0.88276584969854,16,3.0500329596152e-18,3.33221014510908e-10,4.75980854197144e-29
4,"CDC Greenstar AGL",-0.0154056470321614,0.000429344832951,0.00168912844577084,0.820583864394007,17,3.55532629191704e-16,1.37853123009369e-09,6.85464514547363e-26
5,"CDC Cherie AGL",-0.0174208378413679,0.000394818141746095,0.00190886594317692,0.831963143249369,17,2.82102648175384e-17,5.54064681427696e-08,1.20146925953831e-26
6,"CDC Glamis AGL",-0.01561627916672,0.00038250619332076,0.00173496043070313,0.833369371206163,17,1.9775493062037e-17,8.54728150678823e-09,2.59407370543242e-27
7,"CDC Gold AGL",-0.0181937958037976,0.000414708187995799,0.00191209477656577,0.86912142554116,16,6.26776939366534e-19,2.18226109103795e-09,1.67727273686028e-27
8,"CDC Imax AGL",-0.0194152400169632,0.000279758748490445,0.00218850274315379,0.90781927629144,16,2.11189913669071e-22,1.80351455091115e-06,9.5189442879529e-33
9,"CDC Impower AGL",-0.0175066489321135,0.000382788043520127,0.00190004378252379,0.875524869407973,17,1.55015574928761e-19,1.05898338335989e-08,6.55938234508037e-29
10,"CDC KR-1 AGL",-0.0150687008495716,0.000588140365103193,0.00149319213192524,0.691224248414617,18,1.11566689648812e-09,3.12972556131245e-08,1.01141433625131e-15
11,"CDC LeMay AGL",-0.0170372373519495,0.00035474807515231,0.00189527390276896,0.856414807188775,18,1.11260403649051e-18,8.01403733696144e-08,2.96992411784691e-28
12,"CDC Maxim AGL",-0.0178391620794389,0.000372200386744099,0.00197025305960811,0.813386709337405,18,5.54817035750107e-16,9.51598267772189e-07,1.39400419783419e-25
13,"CDC QG-1 AGL",-0.0169362282288128,0.000407096290008721,0.00179165492889296,0.905610419421144,17,4.48604721970565e-21,2.79444398659251e-11,4.51656793705405e-30
14,"CDC Red Rider AGL",-0.0164290584856289,0.000386581084973854,0.00179812882112576,0.83336392467609,16,3.71184322413909e-18,6.95658060465919e-09,4.59273897944433e-27
15,"CDC Redcoat AGL",-0.0158726999998727,0.000281315026245441,0.00187489215175835,0.909812734158519,15,1.72784971762672e-20,2.0278835023537e-07,3.7423104839446e-32
16,"CDC Redwing AGL",-0.0171415123174633,0.000284316106967889,0.00198365170215265,0.899841049122125,15,3.43046184036108e-20,2.67522066602634e-06,4.96304434318351e-31
17,"CDC Robin AGL",-0.0191697706327629,0.000397759215981779,0.00203245759280827,0.874907823510358,17,2.36091422217724e-21,8.62049624257609e-10,3.36083283245279e-30
18,"CDC Rosebud AGL",-0.016804950545586,0.00059592786675994,0.00164128680508319,0.760517508481799,18,5.82069894662703e-11,2.45528274124338e-08,6.29099032212524e-17
19,"CDC Rosetown AGL",-0.0148253424009812,0.000334793059682081,0.0017085779394461,0.900071007399707,16,2.21540190454293e-20,4.64857412920067e-10,2.90337008261379e-31
20,"CDC Rouleau AGL",-0.0170449261344545,0.000334689508490782,0.00190856423885645,0.854733212434145,18,1.10864272155158e-18,1.20410326225627e-07,4.88213281678784e-28
21,"CDC Royale AGL",-0.0166472480369164,0.000427069056254193,0.00179194421172591,0.845735045844579,17,4.79198027856384e-18,2.23735375658479e-10,3.65434362931677e-27
22,"CDC Ruby AGL",-0.0165716251177076,0.000619346711971303,0.00162896066828033,0.741557868571417,18,1.29615116489108e-10,1.38985287036659e-08,7.51100560034552e-17
23,"CDC SB-1 AGL",-0.0226834499606913,0.000495237115560387,0.00226622018039968,0.824011153842119,18,6.16624452476813e-19,7.59718151475322e-09,1.17127853300067e-26
24,"CDC Sedley AGL",-0.0164369333669059,0.000432090013778777,0.00178387280915519,0.791557026008335,18,6.75950260951322e-15,3.79065509313196e-08,1.00745349890331e-23
25,"CDC Vantage AGL",-0.0175361431646427,0.000524694850369989,0.00179029776647312,0.787763699864085,18,4.42669877220482e-13,3.19130465358781e-08,1.70722105107447e-20
26,"CN 105604 AGL",-0.0188530590993635,0.000428111779003268,0.00210200387022675,0.832721698171125,18,3.05316208649997e-17,4.97755151216894e-08,1.02916659790933e-26
27,"CN 105605 AGL",-0.0241837410412167,0.000566577746760854,0.00234348477402448,0.82256529639412,18,1.32422548286955e-17,9.63055107996326e-09,8.87059835610412e-25
28,"CN 105715 AGL",-0.0251028541684223,0.000477412577712177,0.00252849609044348,0.863866906498907,18,2.37604363666491e-22,2.2772082809059e-09,1.54951825549956e-30
29,"CN 105732 AGL",-0.0191076669475507,0.000558988289902811,0.00187197313864892,0.847840421426195,18,3.81667642669872e-16,3.55104859271938e-10,2.73266852110806e-23
30,"CN 105767 AGL",-0.0232851407432815,0.000586641111655561,0.00228177792881719,0.844494604929053,18,2.24751738132222e-17,2.35379771218252e-09,9.99346462944951e-25
31,"CN 105777 AGL",-0.0203401749417175,0.000625955284960711,0.00207907317685527,0.841777617635861,18,2.01929881700125e-17,8.58006445077925e-12,8.89447679262132e-26
32,"CN 105789 AGL",-0.0199239525525083,0.000435887677817185,0.00225612071502782,0.776049541440132,18,9.906906007068e-15,2.34200143002298e-06,1.56659879310433e-24
33,"CN 105791 AGL",-0.0178325413808352,0.00082362032789461,0.00168679937263957,0.788100430164126,18,1.62443697548903e-10,4.52094714435183e-11,3.8149976521875e-16
34,"CN 105862 AGL",-0.0189392168173607,0.000312546588339948,0.00208850811088657,0.904573257064987,15,4.40729206482397e-22,2.67747180543972e-07,1.0416386211428e-31
35,"CN 105863 AGL",-0.0193558288893879,0.000251636877108399,0.00221678084119723,0.889071006370425,14,1.16592169663556e-21,1.96262650945071e-05,3.76075345101922e-33
36,"CN 105864 AGL",-0.0172897758446795,0.000228021845194476,0.00207726442678168,0.908736356973321,14,1.70325372545493e-21,1.79713207186179e-05,5.74113804780044e-34
37,"CN 105865 AGL",-0.0190166238086651,0.000275616625684726,0.00214618757334887,0.917966963024025,14,6.43306270590243e-24,2.80850130874269e-07,2.38284384421555e-35
38,"CN 105895 AGL",-0.0177646589821386,0.000498972481159658,0.00198170754739302,0.826674474180193,18,5.66493750676745e-16,1.88866853141225e-09,1.84056712467742e-25
39,"CN 106265 AGL",-0.0177828544003165,0.000365320725312842,0.00194445388596368,0.873944139263299,17,1.49838566508654e-17,2.96046559144199e-07,4.94711873652687e-27
40,"CN 108369 AGL",-0.0167158761128132,0.000418944518643289,0.0018179154267016,0.853149577345429,17,4.26179342280365e-18,7.02232387097446e-10,1.12744712692547e-27
41,"CN 108370 AGL",-0.0167100090480766,0.00047313661501811,0.00169975403734945,0.835029149981255,17,1.11761196286339e-16,2.94929200331079e-10,1.24935076274635e-24
42,"Crimson AGL",-0.0156804776087309,0.000507412144928306,0.00168744311872413,0.738828579034662,18,1.01456332141136e-09,2.68407623560371e-06,1.08303805007098e-16
43,"DPL 62 AGL",-0.0189954225605622,0.00055364317906423,0.00204474368817746,0.794746967730405,18,7.08890300927323e-14,1.69245803063427e-08,1.6541673105241e-22
44,"Eston AGL",-0.0217240167128442,0.000394776078535258,0.00227146086148513,0.858617723266615,18,4.37699841673641e-22,2.22343943936907e-08,1.80000049469968e-30
45,"Gudo AGL",-0.0201991732278126,0.000266592644113004,0.00236413362144943,0.902821081515349,18,7.54516039294037e-23,4.92450173762084e-06,3.1246833679913e-33
46,"IG 1046 AGL",-0.0234543602733191,0.00046816438062412,0.00233776655445275,0.830554862499175,17,1.27590681280078e-19,5.44496258882309e-08,1.10706533901926e-27
47,"IG 1706 AGL",-0.0244837142828601,0.000401223915753453,0.00249501259035347,0.896506991806272,16,2.54012107024514e-27,6.69158093602454e-11,2.98878389927636e-36
48,"IG 1959 AGL",-0.0223324186479011,0.000414821287694001,0.00232617481884802,0.820474418026054,17,1.15533105394415e-17,1.78491745016974e-06,3.68236566727e-26
49,"IG 4258 AGL",-0.0199293586501487,0.0004077373844909,0.00224393532904485,0.84418709681589,18,2.40138934499456e-18,1.61535898687424e-07,1.19626616040365e-28
50,"IG 4781 AGL",-0.0182651124776497,0.000357959038976618,0.00196534181219934,0.86674980110303,15,8.32217816403522e-20,8.6265980424251e-08,2.56757322180253e-28
51,"IG 858 AGL",-0.0224693060687009,0.000426322306123265,0.00230539760325804,0.849205743455548,18,1.38509377506193e-19,2.42740838233202e-07,2.58102309894227e-27
52,"ILL 10657 AGL",-0.0193892228290189,0.000496294220651698,0.00213316558462028,0.755177241878084,18,6.67797025969567e-14,3.27408953134096e-07,6.11438409248886e-23
53,"ILL 10748 AGL",-0.014193247271595,0.000680954357120068,0.00150394251907385,0.783818173439947,18,7.44346466309931e-10,2.1673807296901e-10,4.99120143513318e-16
54,"ILL 11547 AGL",-0.0180054100835757,0.000604448050671315,0.00191516458689568,0.714454648052553,18,2.37237348515342e-11,3.41705238046472e-08,9.89145703847351e-19
55,"ILL 11548 AGL",-0.019345883162624,0.000689471591605811,0.00192053705144021,0.800764143683692,18,4.8726665196948e-13,5.32257503603689e-10,1.25719857821497e-19
56,"ILL 11553 AGL",-0.018222882904492,0.000467160271417891,0.00205614012261496,0.783205163712556,18,3.2772525382209e-13,1.65318476774113e-06,1.07463150411772e-21
57,"ILL 11555 AGL",-0.0180861680717831,0.000634162671737381,0.00188933660667008,0.7474373711904,18,1.67332325090723e-11,1.22852308299355e-08,4.46829471379969e-19
58,"ILL 11557 AGL",-0.0181523509957751,0.000683847825529876,0.00183651777597529,0.774982829722991,18,2.79577927976146e-12,3.91369717026537e-10,2.28668210315195e-19
59,"ILL 11558 AGL",-0.0189643761007361,0.000651109520184028,0.00194150051586243,0.819501560545971,18,1.18008860075278e-14,5.21574219645034e-11,2.37480006424589e-22
60,"ILL 1220 AGL",-0.0228503246804326,0.000449677066690225,0.00231023665179214,0.868520508212091,17,4.42353196034176e-23,6.60061242658085e-10,8.76301772844095e-32
61,"ILL 1553 AGL",-0.0229956760225313,0.000502638408834135,0.00229802943810192,0.903296037342711,18,1.44887489634784e-22,3.0052576443391e-11,2.21918315404131e-30
62,"ILL 1762 AGL",-0.0208806832407695,0.000285079080938885,0.00229584379164775,0.912243248750114,14,5.87199656275377e-24,7.31220354062555e-07,1.39783448798632e-34
63,"ILL 1983 AGL",-0.0195407203835578,0.000365323058952336,0.00221242349150236,0.917469957836047,18,8.37704745444136e-24,1.00762832670284e-09,7.11335354544785e-34
64,"ILL 213 AGL",-0.0232723908603942,0.000325047840567313,0.00251682851980085,0.867490049058372,16,2.35686354634103e-27,1.1623245375376e-08,1.74686166734069e-37
65,"ILL 2194 AGL",-0.0217666196432822,0.000226612471930388,0.00249286591261345,0.916049215088417,17,5.30762193736877e-24,0.000135083753087562,2.79596588034037e-34
66,"PI 431893 LSP AGL",-0.0199138223525986,0.000641735642109948,0.00186292327584383,0.817136718905421,18,9.64667988647998e-15,4.15609427286086e-10,3.58353146523186e-20
67,"ILL 2507 AGL",-0.0185995648755108,0.000454564381425879,0.00209596373388194,0.813460780510814,18,4.7411090873757e-15,2.38352481826122e-07,1.62241824679295e-24
68,"ILL 2580 AGL",-0.0217887177895292,0.0003531784290291,0.00241415670957185,0.903990090148204,17,5.83106636912953e-24,2.15614251626573e-08,2.29543437522639e-34
69,"ILL 28 AGL",-0.0206234969081093,0.000249843193812161,0.00237506100944116,0.877376863442171,16,4.77282412218341e-22,6.20179087547641e-05,6.68643710352744e-33
70,"ILL 3025 AGL",-0.0201217862173026,0.000383589760948331,0.00228125882020459,0.903182172586491,18,2.92360505703074e-23,1.32864181464773e-09,2.58720711697798e-33
71,"ILL 313 AGL",-0.021913682647779,0.000293963191091365,0.0024162703585228,0.924282542616364,16,5.80718307905815e-27,4.80842612953998e-08,7.84283841958724e-38
72,"ILL 3347 AGL",-0.0191831105498512,0.000437812758421594,0.00214483940254739,0.858355301132281,18,9.95596269526102e-18,2.87011216187124e-08,1.54174875122059e-27
73,"ILL 358 AGL",-0.0213612757928372,0.000311160193034609,0.00238784373764569,0.890516745230617,18,4.21214280687606e-25,5.63387674881812e-08,1.85135186467694e-35
74,"ILL 3597 AGL",-0.0215834524455359,0.000335144554487024,0.00243194147592646,0.919909373053623,18,9.7348048869252e-25,2.82008458434552e-08,8.74856497564811e-35
75,"ILL 4164 AGL",-0.0206294000703119,0.000224187102819672,0.0024353198934774,0.903410876138494,15,9.03870762447779e-25,2.52410123056558e-05,3.09103420238884e-37
76,"ILL 4400 AGL",-0.0198911470605223,0.000308645014939964,0.00222159842162313,0.914293333314797,15,7.70665707897779e-24,6.81923924842304e-08,4.82102607556966e-35
77,"ILL 4605 AGL",-0.0149022284971595,0.000698806402896576,0.00155075966181536,0.749468234267266,18,5.13814956527628e-08,1.56409876898411e-08,7.26763957651314e-14
78,"ILL 4609 AGL",-0.0212430819210399,0.000243819170694588,0.00240961015803164,0.905753786312947,16,2.57241467322585e-24,2.59716812837278e-05,1.97950727083264e-34
79,"ILL 4665 AGL",-0.0190150272587902,0.000361151037965179,0.00208461167895839,0.872054314415277,18,2.63830269306384e-19,2.92855220039528e-07,2.61284447295151e-28
80,"ILL 4671 AGL",-0.018582624563664,0.000282210117493365,0.00213489689079541,0.910259306472681,15,2.1099610766637e-22,1.20064450735373e-06,9.44691355482757e-33
81,"ILL 4768 AGL",-0.0211982658190053,0.000417841038148608,0.00236577926764804,0.758785979244303,18,1.09875027411243e-15,5.14029447835688e-06,1.9911241815959e-25
82,"ILL 4782 AGL",-0.0217329674655727,0.000450765163724212,0.00237641903855986,0.796022209404575,18,1.66977007494683e-16,6.55068831209733e-07,1.11937717498069e-25
83,"ILL 4783 AGL",-0.0187448202217303,0.00035861271372547,0.00201317720816914,0.872876356470106,16,1.66907953461764e-20,3.28131275579372e-08,3.15103436942134e-30
84,"ILL 4804 AGL",-0.0215479713518684,0.000292975481741178,0.00241708284917475,0.903693539718213,17,2.99422294655484e-26,2.43272701013679e-08,2.06908326557026e-36
85,"ILL 4875 AGL",-0.01824611283589,0.00038699076021458,0.00191345783261528,0.914381062433833,15,5.18726427733997e-23,4.55847146932043e-11,1.41927508248382e-32
86,"ILL 4956 AGL",-0.0196960207211073,0.000421643702100093,0.00203517304181256,0.90163349997258,17,9.54285515485907e-23,4.09718953824304e-11,3.21314463963424e-31
87,"ILL 5058 AGL",-0.0174791015134975,0.000281138688804235,0.00198197558025128,0.876409423532028,14,1.11249798664225e-18,5.34962529965136e-06,1.04829151847615e-29
88,"ILL 5151 AGL",-0.0197679890563761,0.000235101955764912,0.00233366941425511,0.89601881436284,16,2.57068241483009e-23,3.37021818341087e-05,7.41677056649841e-35
89,"ILL 5209 AGL",-0.0200050933158994,0.000232911616839259,0.00237057124810163,0.856971439683427,17,5.58260704507724e-22,5.31515661730519e-05,2.25501632137316e-33
90,"ILL 5480 AGL",-0.0183241316299704,0.000413105976712591,0.00191943784055352,0.859324955271071,18,6.79258662622557e-20,1.21695913799526e-09,2.77995466796082e-28
91,"ILL 5639 AGL",-0.0206480059478978,0.00038309385967882,0.00223981027336222,0.777321776806546,17,9.1151453685491e-17,4.16188510095901e-06,5.87056592266226e-26
92,"ILL 5722 AGL",-0.0229876094278461,0.000701509817461331,0.00214402323621217,0.850248320055044,18,1.92989609222592e-17,1.07172458163271e-11,4.85510148935482e-24
93,"ILL 5883 AGL",-0.0211386279393998,0.000265796875195395,0.00242617614175506,0.862834139885262,17,7.91786691347755e-24,3.57826555325328e-06,4.95279333036946e-35
94,"ILL 5888 AGL",-0.0146965106533019,0.00143241681362331,0.000903227270714473,0.833405664685111,18,2.54783718823109e-05,3.02163665617672e-13,5.97877750487907e-05
95,"ILL 5945 AGL",-0.0196909161993515,0.000453155121530744,0.00221171182217481,0.778215302794426,18,9.4622440337169e-15,9.57211658537854e-07,1.30454463335622e-24
96,"ILL 6002 AGL",-0.015005494318884,0.000712459710795806,0.00156302238199855,0.768708966335926,18,2.23789594562274e-09,4.7616972970781e-10,5.14471046310191e-16
97,"ILL 618 AGL",-0.0226886972021371,0.000468460808480405,0.0022895875887102,0.888383137191991,18,1.54534007484751e-23,3.02793270338844e-11,6.82758056730414e-32
98,"ILL 6182 AGL",-0.0196391067441825,0.000274830416614088,0.00230511610843858,0.878645447278257,17,2.55100296334517e-22,4.75541991890027e-06,3.19160082208951e-33
99,"ILL 6211 AGL",-0.0143353877234848,0.000642615610023463,0.00154586105012304,0.757856943004454,18,4.29984947808233e-10,2.90462321443647e-10,3.30048740594581e-17
100,"ILL 624 AGL",-0.0197562569122338,0.000382710972640678,0.00209937440561546,0.888368716506725,17,4.97612049190755e-24,1.26945699622743e-10,2.2288404653881e-33
101,"ILL 6821 AGL",-0.0207764931048513,0.000180116673610184,0.00248443761119751,0.905588536085095,14,2.05478548983199e-24,0.000659071670470651,4.04880985323108e-37
102,"ILL 6853 AGL",-0.0181023949062663,0.00021421429018847,0.00220830850381165,0.860642463686354,16,1.35344660680466e-19,0.00045949984690143,4.60543003383535e-31
103,"ILL 7089 AGL",-0.0237967961703435,0.000495187130771283,0.00236495418588766,0.886848338954084,17,5.96418363853386e-24,2.83582097457722e-11,7.11742737685482e-32
104,"ILL 7558 AGL",-0.0149310823454035,0.00061995399408683,0.00161529312348256,0.772948040888351,18,1.65557633073136e-10,3.7778905145767e-09,8.34848329579977e-18
105,"ILL 7663 AGL",-0.0146714114857404,0.00120122543774318,0.0010986929841467,0.777568626740221,18,1.9927888282712e-05,3.98793765481331e-11,1.55796650311081e-06
106,"ILL 7668 AGL",-0.0191238263712611,0.000476742556525433,0.00207692669578345,0.847565137014326,18,1.90749858351452e-18,1.15678212795151e-09,4.78321723456415e-28
107,"ILL 7716 AGL",-0.0146387984834282,0.00073544784475078,0.00148193711141799,0.767346377403458,18,5.41080530263389e-09,2.06819010517093e-10,7.40929833116259e-15
108,"ILL 7747 AGL",-0.0194253505995584,0.000210756434168666,0.00231843343422175,0.891940111109515,15,9.39082653246156e-23,0.000212335886028863,1.62078547170887e-34
109,"ILL 7946 AGL",-0.0212579151535447,0.000289210839502724,0.00242100668210551,0.870712468656726,17,1.37251541220335e-23,1.43960207720006e-06,3.52691081974509e-35
